// Auto-generated by Matt Caspermeyer 01-Oct-2024 for Hyperion Mod V1.52 - see bottom of file for changes
//
// Weapon Target Table
//
// weapon types: water, indirect, air, direct, close, psychic, ranged space, direct space, close space.
//
//                 W  I  A  D  C  P  R  D  C
//                 a  n  i  i  l  s  S  S  S
//                 t  d  r  r  o  y  p  p  p
{
   "foot"         "0  1  0  0  1  1  0  0  1"
   "wheel"        "0  1  0  1  0  1  1  1  0"
   "tread"        "0  1  0  1  0  1  1  1  0"
   "air"          "0  0  1  0  0  1  1  0  0"
   "naval"        "1  1  0  1  0  1  1  1  0"
   "space"        "0  0  0  0  0  1  1  1  1"
   "hover"        "0  1  0  1  0  1  1  1  0"
   "jump"         "0  0  0  0  0  1  1  1  0"
   "craft"        "0  1  0  1  0  1  1  1  0"
   "lander"       "0  1  0  1  0  1  1  1  0"
   "mech"         "0  1  0  0  1  1  0  1  1"
   "gate"         "0  1  0  1  0  1  1  1  0"
   "underwater"   "1  0  0  0  0  1  0  0  0"
}
//
// Weapon Order and Number of Attack Phases
//
// Example:
// "order"       " 6  7  8  5  2  1  0  3  4"
// 6 = Ranged Space
// 7 = Direct Space
// 8 = Close Space
// 5 = Psychic
// 2 = Air
// 1 = Indirect
// 0 = Water
// 3 = Direct
// 4 = Close
{
   "order"        "6  7  8  5  2  1  0  3  4"
   "phases"       "4  2  2  3  4  2  2  3  4"
}
// Weapon types (for phases above)
//                 W  I  A  D  C  P  R  D  C
//                 a  n  i  i  l  s  S  S  S
//                 t  d  r  r  o  y  p  p  p
{
// Changes V1.52
//
// Crawler is now (Amphibious)Craft movement type
//
// Several weapons changes have been made due to new units and desired strategies / implications of these new units:
//
// 1. With the addition of Anti-Tank Obstacles (these were used during WW2), I've decided to make the Direct weapon
//    only damage Wheel, Tread, Naval, Hover, (Amphibious)Craft, and Lander move types. This means that Foot and
//    Mech units will not be harmed by these obstacles, while their use will be effective in repelling light and
//    medium tank or other types of light-armored units.
// 2. Close weapons now only target Foot and Mech units, meaning that units with only close weaponry cannot harm
//    Anti-Tank Obstacles (so these obstacles won't harm Foot and Mech units and units with only close can't harm
//    these obstacles, exactly how it played out in WW2) and other mechanized units.
// 3. Direct Space weapons can't attack Foot, Air, or Underwater units so that Gate units can use these weapons to
//    engage the other movement types if they are used during combat.
// 4. Close Space weapons can only attack Foot, Space, and Mech units.
// 5. Additionally, all ground weapons are considered not usuable in space combat and therefore cannot attack movement
//    types that cannot attack on the ground including Space and Jump units.
