Unmanned Aerial Vehicles - Advancement in the control of aeroplanes to be operated without a pilot from a remote operator.

[1670] Guided Missiles (73) +
[8210] Aircraft Surveillance (64) +
[9925] Advanced Rocket-Propelled Aircraft (73)
|
[11315] Unmanned Aerial Vehicles (54)
|
|><[13565] Unmanned Land Vehicles (55)...
|
<>Build Personal Surveillance Drone in Factory
<>Build Bomber Drone in Electronics Plant
<>Build Patrol Drone in Electronics Plant
<>Build Anti-Ship Drone in Electronics Plant
<>Build Anti-Tank Drone in Electronics Plant
<>Build Fighter-Bomber Drone in Electronics Plant
<>Build Anti-Personnel Drone in Electronics Plant
<>Build General-Purpose Drone in Electronics Plant
<>Build Fighter Drone in Electronics Plant
<>Build Anti-Submarine Drone in Electronics Plant
<>Build Surveillance Drone in Electronics Plant
<>Build Transport Drone in Electronics Plant
